Шаг,NFT lvl1,NFT lvl2,NFT lvl3,Активных NFT lvl1,Активных NFT lvl2,Активных NFT lvl3,Встречи,REWARD_POOL токены,Новые NFT,Стоимость новых NFT,Цена токена
605,31774,2941,254,30814,2836,251,298,445205433.06,45,5400.00,0.000059
606,31825,2942,254,30817,2866,248,303,436952855.03,58,7600.00,0.000058
607,31877,2945,254,30902,2859,248,296,448146372.11,61,9700.00,0.000061
608,31920,2947,255,30993,2860,248,278,479483691.16,53,17000.00,0.000069
609,31969,2951,256,31077,2863,244,279,451690224.40,58,20200.00,0.000063
610,32035,2955,259,31084,2847,251,327,451832458.67,78,41100.00,0.000060
611,32077,2958,260,31131,2853,248,276,473146178.26,53,17900.00,0.000069
612,32123,2964,260,31227,2871,249,285,451471475.59,57,11100.00,0.000063
613,32181,2968,260,31229,2890,254,302,443145306.04,69,10500.00,0.000058
614,32236,2970,260,31289,2894,250,287,436217149.61,63,9000.00,0.000059
615,32291,2973,260,31319,2884,252,316,444956086.98,63,9000.00,0.000061
616,32347,2980,260,31318,2878,252,325,439938699.12,69,13200.00,0.000060
617,32398,2984,261,31397,2897,254,290,489593914.64,58,19300.00,0.000071
618,32455,2990,262,31491,2910,260,299,471891193.60,68,22100.00,0.000062
619,32509,2997,262,31558,2896,259,298,445565774.61,64,12700.00,0.000058
620,32565,3004,262,31577,2906,252,319,431973578.43,67,13000.00,0.000059
621,32617,3009,262,31643,2917,248,290,440072917.35,62,11600.00,0.000063
622,32672,3013,263,31727,2924,252,301,481508038.00,65,20000.00,0.000071
623,32716,3020,263,31739,2949,256,288,463069394.11,52,12400.00,0.000062
624,32762,3026,264,31778,2961,257,299,485328748.11,59,22100.00,0.000068
625,32809,3032,264,31862,2952,255,283,459052480.74,58,11200.00,0.000063
626,32856,3037,264,31950,2938,260,287,448029573.77,60,10500.00,0.000059
627,32910,3042,265,31975,2940,260,303,484433100.40,65,20900.00,0.000069
628,32963,3042,265,32020,2935,256,297,453912800.53,62,6200.00,0.000063
629,33007,3043,265,32032,2960,257,301,481683577.66,52,16900.00,0.000070
630,33056,3047,266,32047,2964,257,309,451629769.01,57,19200.00,0.000062
631,33101,3055,268,32131,2941,255,300,476725012.16,58,33700.00,0.000071
632,33158,3062,269,32174,2959,258,318,454196764.88,71,23300.00,0.000063
633,33198,3066,272,32219,2975,262,289,479353139.13,52,38500.00,0.000068
634,33262,3071,272,32288,2984,261,313,451914073.20,72,21600.00,0.000062
635,33314,3075,272,32314,2982,264,308,440393396.24,61,9700.00,0.000059
636,33380,3079,273,32378,2969,266,323,482630938.05,74,20900.00,0.000071
637,33435,3082,273,32480,2981,268,278,462447303.74,61,8800.00,0.000063
638,33482,3087,273,32540,3007,269,298,448086654.14,57,11100.00,0.000058
639,33531,3094,274,32599,3014,267,277,485845988.70,63,23400.00,0.000070
640,33577,3099,274,32650,3015,261,302,450639415.74,58,11200.00,0.000063
641,33615,3104,274,32629,3020,266,295,451043306.61,47,11000.00,0.000061
642,33669,3109,274,32677,3021,274,304,453642242.94,63,11700.00,0.000058
